name,method,correct_ratio,correct_seed,lr,epochs,optimizer,mask_stage,correct_accuracy,wrong_accuracy,forgetting_rate
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep3-optadamw-maskupdate,cnl,40.0,0,1e-7,3,adamw,update,0.7716049382716049,0.5086705202312138,0.22839506172839508
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep3-optadamw-maskgradient,cnl,40.0,0,1e-7,3,adamw,gradient,0.6604938271604939,0.5852601156069365,0.3395061728395061
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep3-optadamw-maskupdate,cnl,20.0,0,1e-7,3,adamw,update,0.7160493827160493,0.5028901734104047,0.28395061728395066
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep3-optadamw-maskgradient,cnl,20.0,0,1e-7,3,adamw,gradient,0.7654320987654321,0.6083815028901735,0.23456790123456794
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep3-optadamw-maskupdate,cnl,10.0,0,1e-7,3,adamw,update,0.85,0.5144508670520231,0.15000000000000002
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep3-optadamw-maskgradient,cnl,10.0,0,1e-7,3,adamw,gradient,0.75,0.6098265895953757,0.25
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-7-ep2-optsgd-maskupdate,cnl,100.0,0,1e-7,2,sgd,update,0.6757425742574258,0.4985549132947977,0.3242574257425742
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-7-ep2-optsgd-maskgradient,cnl,100.0,0,1e-7,2,sgd,gradient,0.6757425742574258,0.4985549132947977,0.3242574257425742
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-7-ep2-optsgd-maskupdate,cnl,80.0,0,1e-7,2,sgd,update,0.7058823529411765,0.4942196531791907,0.2941176470588235
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-7-ep2-optsgd-maskgradient,cnl,80.0,0,1e-7,2,sgd,gradient,0.7058823529411765,0.4942196531791907,0.2941176470588235
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-7-ep2-optsgd-maskupdate,cnl,60.0,0,1e-7,2,sgd,update,0.6652892561983471,0.5057803468208093,0.3347107438016529
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-7-ep2-optsgd-maskgradient,cnl,60.0,0,1e-7,2,sgd,gradient,0.6652892561983471,0.5057803468208093,0.3347107438016529
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep2-optsgd-maskupdate,cnl,40.0,0,1e-7,2,sgd,update,0.7283950617283951,0.4869942196531792,0.2716049382716049
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep2-optsgd-maskgradient,cnl,40.0,0,1e-7,2,sgd,gradient,0.7283950617283951,0.4869942196531792,0.2716049382716049
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep2-optsgd-maskupdate,cnl,20.0,0,1e-7,2,sgd,update,0.7530864197530864,0.49710982658959535,0.24691358024691357
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep2-optsgd-maskgradient,cnl,20.0,0,1e-7,2,sgd,gradient,0.7530864197530864,0.49710982658959535,0.24691358024691357
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep2-optsgd-maskupdate,cnl,10.0,0,1e-7,2,sgd,update,0.775,0.4927745664739884,0.22499999999999998
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep2-optsgd-maskgradient,cnl,10.0,0,1e-7,2,sgd,gradient,0.775,0.4927745664739884,0.22499999999999998
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-7-ep2-optadamw-maskupdate,cnl,100.0,0,1e-7,2,adamw,update,0.5445544554455446,0.5491329479768786,0.4554455445544554
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-7-ep2-optadamw-maskgradient,cnl,100.0,0,1e-7,2,adamw,gradient,0.7599009900990099,0.2702312138728324,0.2400990099009901
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-7-ep2-optadamw-maskupdate,cnl,80.0,0,1e-7,2,adamw,update,0.5356037151702786,0.5505780346820809,0.4643962848297214
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-7-ep2-optadamw-maskgradient,cnl,80.0,0,1e-7,2,adamw,gradient,0.7894736842105263,0.2312138728323699,0.21052631578947367
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-7-ep2-optadamw-maskupdate,cnl,60.0,0,1e-7,2,adamw,update,0.5289256198347108,0.5578034682080925,0.47107438016528924
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-7-ep2-optadamw-maskgradient,cnl,60.0,0,1e-7,2,adamw,gradient,0.7066115702479339,0.31647398843930635,0.29338842975206614
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep2-optadamw-maskupdate,cnl,40.0,0,1e-7,2,adamw,update,0.5802469135802469,0.546242774566474,0.41975308641975306
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep2-optadamw-maskgradient,cnl,40.0,0,1e-7,2,adamw,gradient,0.7962962962962963,0.17485549132947978,0.20370370370370372
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep2-optadamw-maskupdate,cnl,20.0,0,1e-7,2,adamw,update,0.5432098765432098,0.5505780346820809,0.45679012345679015
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep2-optadamw-maskgradient,cnl,20.0,0,1e-7,2,adamw,gradient,0.8395061728395061,0.203757225433526,0.16049382716049387
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep2-optadamw-maskupdate,cnl,10.0,0,1e-7,2,adamw,update,0.55,0.5549132947976878,0.44999999999999996
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep2-optadamw-maskgradient,cnl,10.0,0,1e-7,2,adamw,gradient,0.875,0.25578034682080925,0.125
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-7-ep1-optsgd-maskupdate,cnl,100.0,0,1e-7,1,sgd,update,0.5544554455445545,0.5621387283236994,0.4455445544554455
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-7-ep1-optsgd-maskgradient,cnl,100.0,0,1e-7,1,sgd,gradient,0.5544554455445545,0.5621387283236994,0.4455445544554455
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-7-ep1-optsgd-maskupdate,cnl,80.0,0,1e-7,1,sgd,update,0.5696594427244582,0.5578034682080925,0.43034055727554177
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-7-ep1-optsgd-maskgradient,cnl,80.0,0,1e-7,1,sgd,gradient,0.5696594427244582,0.5578034682080925,0.43034055727554177
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-7-ep1-optsgd-maskupdate,cnl,60.0,0,1e-7,1,sgd,update,0.5454545454545454,0.5664739884393064,0.4545454545454546
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-7-ep1-optsgd-maskgradient,cnl,60.0,0,1e-7,1,sgd,gradient,0.5454545454545454,0.5664739884393064,0.4545454545454546
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep1-optsgd-maskupdate,cnl,40.0,0,1e-7,1,sgd,update,0.5864197530864198,0.546242774566474,0.4135802469135802
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep1-optsgd-maskgradient,cnl,40.0,0,1e-7,1,sgd,gradient,0.5864197530864198,0.546242774566474,0.4135802469135802
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep1-optsgd-maskupdate,cnl,20.0,0,1e-7,1,sgd,update,0.5679012345679012,0.5505780346820809,0.4320987654320988
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep1-optsgd-maskgradient,cnl,20.0,0,1e-7,1,sgd,gradient,0.5679012345679012,0.5505780346820809,0.4320987654320988
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep1-optsgd-maskupdate,cnl,10.0,0,1e-7,1,sgd,update,0.6,0.5549132947976878,0.4
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep1-optsgd-maskgradient,cnl,10.0,0,1e-7,1,sgd,gradient,0.6,0.5549132947976878,0.4
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-7-ep1-optadamw-maskupdate,cnl,100.0,0,1e-7,1,adamw,update,0.4381188118811881,0.5780346820809249,0.5618811881188119
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-7-ep1-optadamw-maskgradient,cnl,100.0,0,1e-7,1,adamw,gradient,0.41336633663366334,0.5838150289017341,0.5866336633663367
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-7-ep1-optadamw-maskupdate,cnl,80.0,0,1e-7,1,adamw,update,0.4551083591331269,0.5751445086705202,0.5448916408668731
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-7-ep1-optadamw-maskgradient,cnl,80.0,0,1e-7,1,adamw,gradient,0.4179566563467492,0.5736994219653179,0.5820433436532508
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-7-ep1-optadamw-maskupdate,cnl,60.0,0,1e-7,1,adamw,update,0.4338842975206611,0.5780346820809249,0.5661157024793388
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-7-ep1-optadamw-maskgradient,cnl,60.0,0,1e-7,1,adamw,gradient,0.4090909090909091,0.5751445086705202,0.5909090909090908
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep1-optadamw-maskupdate,cnl,40.0,0,1e-7,1,adamw,update,0.4691358024691358,0.5794797687861272,0.5308641975308642
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-7-ep1-optadamw-maskgradient,cnl,40.0,0,1e-7,1,adamw,gradient,0.41358024691358025,0.5794797687861272,0.5864197530864197
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep1-optadamw-maskupdate,cnl,20.0,0,1e-7,1,adamw,update,0.4691358024691358,0.569364161849711,0.5308641975308642
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-7-ep1-optadamw-maskgradient,cnl,20.0,0,1e-7,1,adamw,gradient,0.49382716049382713,0.5780346820809249,0.5061728395061729
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep1-optadamw-maskupdate,cnl,10.0,0,1e-7,1,adamw,update,0.5,0.5852601156069365,0.5
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-7-ep1-optadamw-maskgradient,cnl,10.0,0,1e-7,1,adamw,gradient,0.5,0.5910404624277457,0.5
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep3-optsgd-maskupdate,cnl,100.0,0,5e-8,3,sgd,update,0.8886138613861386,0.31358381502890176,0.11138613861386137
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep3-optsgd-maskgradient,cnl,100.0,0,5e-8,3,sgd,gradient,0.8886138613861386,0.31358381502890176,0.11138613861386137
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep3-optsgd-maskupdate,cnl,80.0,0,5e-8,3,sgd,update,0.913312693498452,0.30057803468208094,0.08668730650154799
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep3-optsgd-maskgradient,cnl,80.0,0,5e-8,3,sgd,gradient,0.913312693498452,0.30057803468208094,0.08668730650154799
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep3-optsgd-maskupdate,cnl,60.0,0,5e-8,3,sgd,update,0.8801652892561983,0.3208092485549133,0.1198347107438017
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep3-optsgd-maskgradient,cnl,60.0,0,5e-8,3,sgd,gradient,0.8801652892561983,0.3208092485549133,0.1198347107438017
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep3-optsgd-maskupdate,cnl,40.0,0,5e-8,3,sgd,update,0.9382716049382716,0.29335260115606937,0.06172839506172845
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep3-optsgd-maskgradient,cnl,40.0,0,5e-8,3,sgd,gradient,0.9382716049382716,0.29335260115606937,0.06172839506172845
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep3-optsgd-maskupdate,cnl,20.0,0,5e-8,3,sgd,update,0.9506172839506172,0.3222543352601156,0.049382716049382824
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep3-optsgd-maskgradient,cnl,20.0,0,5e-8,3,sgd,gradient,0.9506172839506172,0.3222543352601156,0.049382716049382824
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep3-optsgd-maskupdate,cnl,10.0,0,5e-8,3,sgd,update,1.0,0.3236994219653179,0.0
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep3-optsgd-maskgradient,cnl,10.0,0,5e-8,3,sgd,gradient,1.0,0.3236994219653179,0.0
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep3-optadamw-maskupdate,cnl,100.0,0,5e-8,3,adamw,update,0.6955445544554455,0.4725433526011561,0.3044554455445545
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep3-optadamw-maskgradient,cnl,100.0,0,5e-8,3,adamw,gradient,0.915841584158416,0.3684971098265896,0.08415841584158401
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep3-optadamw-maskupdate,cnl,80.0,0,5e-8,3,adamw,update,0.7027863777089783,0.476878612716763,0.29721362229102166
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep3-optadamw-maskgradient,cnl,80.0,0,5e-8,3,adamw,gradient,0.9071207430340558,0.3800578034682081,0.09287925696594423
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep3-optadamw-maskupdate,cnl,60.0,0,5e-8,3,adamw,update,0.6735537190082644,0.4725433526011561,0.32644628099173556
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep3-optadamw-maskgradient,cnl,60.0,0,5e-8,3,adamw,gradient,0.9256198347107438,0.3887283236994219,0.07438016528925617
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep3-optadamw-maskupdate,cnl,40.0,0,5e-8,3,adamw,update,0.7222222222222222,0.4754335260115607,0.2777777777777778
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep3-optadamw-maskgradient,cnl,40.0,0,5e-8,3,adamw,gradient,0.9567901234567902,0.39739884393063585,0.043209876543209846
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep3-optadamw-maskupdate,cnl,20.0,0,5e-8,3,adamw,update,0.654320987654321,0.4942196531791907,0.345679012345679
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep3-optadamw-maskgradient,cnl,20.0,0,5e-8,3,adamw,gradient,0.9876543209876544,0.38439306358381503,0.012345679012345623
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep3-optadamw-maskupdate,cnl,10.0,0,5e-8,3,adamw,update,0.775,0.48988439306358383,0.22499999999999998
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep3-optadamw-maskgradient,cnl,10.0,0,5e-8,3,adamw,gradient,1.0,0.4017341040462428,0.0
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep2-optsgd-maskupdate,cnl,100.0,0,5e-8,2,sgd,update,0.7871287128712872,0.434971098265896,0.21287128712871284
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep2-optsgd-maskgradient,cnl,100.0,0,5e-8,2,sgd,gradient,0.7871287128712872,0.434971098265896,0.21287128712871284
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep2-optsgd-maskupdate,cnl,80.0,0,5e-8,2,sgd,update,0.7956656346749226,0.4277456647398844,0.20433436532507743
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep2-optsgd-maskgradient,cnl,80.0,0,5e-8,2,sgd,gradient,0.7956656346749226,0.4277456647398844,0.20433436532507743
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep2-optsgd-maskupdate,cnl,60.0,0,5e-8,2,sgd,update,0.7727272727272727,0.43641618497109824,0.2272727272727273
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep2-optsgd-maskgradient,cnl,60.0,0,5e-8,2,sgd,gradient,0.7727272727272727,0.43641618497109824,0.2272727272727273
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep2-optsgd-maskupdate,cnl,40.0,0,5e-8,2,sgd,update,0.8209876543209876,0.430635838150289,0.17901234567901236
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep2-optsgd-maskgradient,cnl,40.0,0,5e-8,2,sgd,gradient,0.8209876543209876,0.430635838150289,0.17901234567901236
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep2-optsgd-maskupdate,cnl,20.0,0,5e-8,2,sgd,update,0.7654320987654321,0.4479768786127168,0.23456790123456794
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep2-optsgd-maskgradient,cnl,20.0,0,5e-8,2,sgd,gradient,0.7654320987654321,0.4479768786127168,0.23456790123456794
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep2-optsgd-maskupdate,cnl,10.0,0,5e-8,2,sgd,update,0.9,0.4393063583815029,0.09999999999999998
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep2-optsgd-maskgradient,cnl,10.0,0,5e-8,2,sgd,gradient,0.9,0.4393063583815029,0.09999999999999998
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,100.0,0,5e-8,2,adamw,update,0.6386138613861386,0.4942196531791907,0.3613861386138614
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,100.0,0,5e-8,2,adamw,gradient,0.8935643564356436,0.3222543352601156,0.10643564356435642
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,80.0,0,5e-8,2,adamw,update,0.6377708978328174,0.4956647398843931,0.3622291021671826
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,80.0,0,5e-8,2,adamw,gradient,0.9071207430340558,0.29624277456647397,0.09287925696594423
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,60.0,0,5e-8,2,adamw,update,0.6157024793388429,0.5014450867052023,0.3842975206611571
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,60.0,0,5e-8,2,adamw,gradient,0.8925619834710744,0.32514450867052025,0.1074380165289256
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,40.0,0,5e-8,2,adamw,update,0.654320987654321,0.5,0.345679012345679
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,40.0,0,5e-8,2,adamw,gradient,0.925925925925926,0.2947976878612717,0.07407407407407396
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,20.0,0,5e-8,2,adamw,update,0.5802469135802469,0.5,0.41975308641975306
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,20.0,0,5e-8,2,adamw,gradient,0.9506172839506172,0.3063583815028902,0.049382716049382824
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,10.0,0,5e-8,2,adamw,update,0.675,0.5014450867052023,0.32499999999999996
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,10.0,0,5e-8,2,adamw,gradient,1.0,0.3179190751445087,0.0
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,100.0,0,5e-8,1,sgd,update,0.6485148514851485,0.5086705202312138,0.35148514851485146
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,100.0,0,5e-8,1,sgd,gradient,0.6485148514851485,0.5086705202312138,0.35148514851485146
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,80.0,0,5e-8,1,sgd,update,0.6470588235294118,0.5101156069364162,0.3529411764705882
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,80.0,0,5e-8,1,sgd,gradient,0.6470588235294118,0.5101156069364162,0.3529411764705882
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,60.0,0,5e-8,1,sgd,update,0.6239669421487604,0.5072254335260116,0.37603305785123964
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,60.0,0,5e-8,1,sgd,gradient,0.6239669421487604,0.5072254335260116,0.37603305785123964
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,40.0,0,5e-8,1,sgd,update,0.6790123456790124,0.5086705202312138,0.32098765432098764
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,40.0,0,5e-8,1,sgd,gradient,0.6790123456790124,0.5086705202312138,0.32098765432098764
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,20.0,0,5e-8,1,sgd,update,0.6296296296296297,0.5028901734104047,0.37037037037037035
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,20.0,0,5e-8,1,sgd,gradient,0.6296296296296297,0.5028901734104047,0.37037037037037035
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,10.0,0,5e-8,1,sgd,update,0.675,0.4956647398843931,0.32499999999999996
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,10.0,0,5e-8,1,sgd,gradient,0.675,0.4956647398843931,0.32499999999999996
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep1-optadamw-maskupdate,cnl,100.0,0,5e-8,1,adamw,update,0.5841584158415841,0.5115606936416185,0.4158415841584159
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep1-optadamw-maskgradient,cnl,100.0,0,5e-8,1,adamw,gradient,0.5,0.569364161849711,0.5
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep1-optadamw-maskupdate,cnl,80.0,0,5e-8,1,adamw,update,0.5851393188854489,0.5130057803468208,0.4148606811145511
