name,metrics/n_params_compared,metrics/agreement,metrics/jaccard,metrics/real_density,metrics/synth_density,metrics/real_only_density,metrics/synth_only_density,metrics/both_off_density,metrics/weighted_agreement,metrics/weighted_jaccard,metrics/weighted_real_density,metrics/weighted_synth_density,layer_num
lm_head,107663065088.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
model.embed_tokens,107663065088.0,0.7110057146471865,0.5482050533282383,0.4970037686579299,0.4933174682941458,0.14634029285829875,0.14265399249451466,0.36034223884755534,0.6804322896454748,0.5272126612457695,0.5266756718272575,0.505601743883038,
model.layers.0,10885813248.0,0.5318379815181632,0.41805599569344676,0.6607868549758167,0.48001009928771465,0.3244693870849694,0.1436926313968674,0.1955205136273159,0.5220103422253839,0.4331092644164507,0.7364334662366738,0.4719323841063635,0.0
model.layers.1,10885813248.0,0.5593495535226731,0.4516157238291837,0.6683393563945881,0.4980964529219893,0.30544667497496275,0.13520377150236407,0.1964568721030478,0.5523410354338629,0.46955422736977914,0.743161392430831,0.49703903165311614,1.0
model.layers.10,10885813248.0,0.5123349241752488,0.4222876615619088,0.6983281823612633,0.5022689987819273,0.34186212970204355,0.1458029461227075,0.1558688715160291,0.5131784058649304,0.4487487731829193,0.7749134569438547,0.5045069034202089,10.0
model.layers.11,10885813248.0,0.4993908820729385,0.41526107851494465,0.7125876212716744,0.4990513666030512,0.3570726862978423,0.14353643162921909,0.1438759470991064,0.5004388524518503,0.44181518758368576,0.7895989523900052,0.5007886648567762,11.0
model.layers.12,10885813248.0,0.4802372953587527,0.3971673896759521,0.7140750519882518,0.49056326159013675,0.3716372475196811,0.14812545712156605,0.13779949089018212,0.479029629578073,0.4205076460708119,0.7890782769517642,0.4879743858382737,12.0
model.layers.13,10885813248.0,0.47206763306766586,0.3912146811027182,0.7280885367435618,0.47835797292928167,0.3888314653733071,0.13910090155902693,0.13281056169741115,0.467158190162301,0.40875439007164327,0.7975454667061477,0.47205048020360274,13.0
model.layers.14,10885813248.0,0.4800626396893337,0.39668361765215077,0.7194968655593089,0.48416321720091293,0.3776355043345311,0.1423018559761351,0.1382012784645559,0.47718729494195133,0.41438901148842533,0.7832233225519384,0.4794929647177426,14.0
model.layers.15,10885813248.0,0.46629916170320096,0.38267174472567134,0.7145936746093993,0.48077197952679773,0.38376126668970023,0.1499395716070987,0.13546675378350195,0.4638149088977638,0.3994255343616878,0.7745703193850328,0.47481864568918686,15.0
model.layers.16,10885813248.0,0.47135318134754023,0.3827372567760646,0.7021311432477736,0.4820965283383116,0.37434071678096087,0.15430610187149885,0.14356275488072745,0.46799098760322905,0.3976486504718395,0.757107809390653,0.4773241078168216,16.0
model.layers.17,10885813248.0,0.4711914300883659,0.37939280521777125,0.6882584352047851,0.48709814261917417,0.36498443124862245,0.1638241386630115,0.14791742613220327,0.46991940062515786,0.39465476813330813,0.7379770373125897,0.4832757438120044,17.0
model.layers.18,10885813248.0,0.4755488928630204,0.38766389663198486,0.6943352854586836,0.49416545676900436,0.3623104679133293,0.16214063922365018,0.1435240753176661,0.47472297835250576,0.4042507999834929,0.7453171368428498,0.4928226826383857,18.0
model.layers.19,10885813248.0,0.47750694445865255,0.3898371529559769,0.6961865978540807,0.4939553092175185,0.3623621720889547,0.1601308834523926,0.1436825186935266,0.47646965247200923,0.40784701571023596,0.7524406735320289,0.4922560370440328,19.0
model.layers.2,10885813248.0,0.5738842183561956,0.4701415167943141,0.6703551144734832,0.5119425857341329,0.2922641551915772,0.13385162645222692,0.19579325907428974,0.5713118710354814,0.49352540569432135,0.7468102951626289,0.5173332312363554,2.0
model.layers.20,10885813248.0,0.47009740810501177,0.3810507688200491,0.698091051616762,0.4842717196134651,0.37186096194914253,0.15804162994584559,0.14386731843739226,0.46688046007099054,0.3971001918764219,0.7564103639191602,0.4789883974278413,20.0
model.layers.21,10885813248.0,0.44739292187423707,0.3512439026468688,0.667589678642997,0.48339304295586605,0.3684018569064469,0.18420522121931585,0.14820510013768695,0.4448834049437258,0.36646295371744353,0.7195860570195608,0.47773387935289297,21.0
model.layers.22,10885813248.0,0.4404099016562515,0.3301877312947222,0.6251199107471589,0.48617634782337943,0.34926683063376396,0.21032326770998444,0.16455682154285656,0.4370607025565201,0.3430139716023046,0.6709985062473454,0.4797649285179143,22.0
model.layers.23,10885813248.0,0.43957581330720985,0.33106575924272597,0.6330793352776063,0.4820700256789854,0.3557167481457054,0.20470743854708465,0.16221322617530906,0.43687079332570844,0.34432004129907395,0.6788841445696873,0.47568246644560586,23.0
model.layers.24,10885813248.0,0.44079770419372155,0.3287421745685942,0.6167796643244416,0.49015057969879294,0.34291569021596346,0.2162866055903148,0.16693373008524345,0.4394331404030364,0.34311652713282526,0.6591866418056364,0.4869932389765505,24.0
model.layers.25,10885813248.0,0.4350441398459677,0.3187003541135659,0.6058560320435142,0.48765299349364694,0.3415794493519497,0.22337641080208245,0.1707675571544032,0.43295013159974893,0.32973939286322296,0.640995732456767,0.4839822738886417,25.0
model.layers.26,10885813248.0,0.4292905117455126,0.32203824179114365,0.6352225465810233,0.4776716991682126,0.36413016783364904,0.20657932042083837,0.15819813299813829,0.42272216401419166,0.3297721978074847,0.6766652650291334,0.4686890984177994,26.0
model.layers.27,10885813248.0,0.44538531826189187,0.37488765407479596,0.7565424077537877,0.4632919231759358,0.42393258315797994,0.13068209858012805,0.11277549366608419,0.43219682271393767,0.3827687352615766,0.8230317497964451,0.4490061079861146,27.0
model.layers.3,10885813248.0,0.5828180433065611,0.47948116247928974,0.6703994826790547,0.5153651405907345,0.2861081493908796,0.13107380730255935,0.19852671001838595,0.5807796974872692,0.5037245090228303,0.7471397483980204,0.5231059799395518,3.0
model.layers.4,10885813248.0,0.5895618215918892,0.4870796933188448,0.6721097744667096,0.5178493981637706,0.28234927735552495,0.1280889010525858,0.1998013244807045,0.5879676570849923,0.5110641299358663,0.7473753552044886,0.5260170919828038,4.0
model.layers.5,10885813248.0,0.581756345963726,0.48111222726319525,0.6769579907457917,0.5168757635111692,0.28916294063544823,0.12908071340082572,0.19396129585338262,0.5800008530136094,0.5046672957816349,0.7508214142809071,0.5250057830757333,5.0
model.layers.6,10885813248.0,0.5783835350249801,0.47925960714811666,0.6795096847136358,0.5181698893315425,0.2914781301785566,0.1301383347964633,0.19035198048990082,0.5771727386789197,0.5033900853915972,0.7536718013372674,0.5263555006938141,6.0
model.layers.7,10885813248.0,0.5794910338149502,0.4800237645273969,0.683417078679614,0.5134897003700647,0.2952181722472996,0.12529079393775025,0.19129212738263573,0.5754790104667591,0.5012105671113813,0.7581388095232945,0.5195451364973295,7.0
model.layers.8,10885813248.0,0.5528192077983368,0.4577477734916479,0.6904843218195911,0.5116806211077856,0.31299224645673435,0.13418854574492875,0.17532713243548004,0.5505289867515475,0.4812186016370904,0.7668761302735618,0.5164479745267543,8.0
model.layers.9,10885813248.0,0.5233132227439807,0.43048408868699073,0.6934628343350393,0.5038569971800421,0.33314630720550825,0.14354047005051102,0.16299669561444968,0.5240432512029565,0.45657858110866045,0.7693322313174494,0.5064148584161816,9.0
model.norm,708608.0,0.439453125,0.36461460940899093,0.763587201950867,0.44029703305635837,0.44191852194725434,0.11862835305274565,0.11778444499638725,0.42670776945125277,0.3800906289850358,0.8484880186815895,0.4278198957645857,
